,Unnamed: 0,location_name,address,lat,lng
1989,1989,Lincoln University,"401 15th Street, Oakland, CA 94612-2801",37.8047231,-122.2696866
1990,1990,Southern California Seminary,"2075 E. Madison Avenue, El Cajon, CA 92019-1108",32.7996316,-116.9054349
1991,1991,La Sierra University,"4500 Riverwalk Parkway, Riverside, CA 92515-8247",33.9096127,-117.4963051
1992,1992,Central California Conference of Seventh-day Adventists,"2820 Willow Ave., Clovis, CA 93612",36.7992688,-119.7285893
1993,1993,La Sierra University - Union College,"3800 South 48th St, Lincoln, NE 68506",40.7745521,-96.65225389999999
1994,1994,La Sierra University - Criminal Justice Institute,"1305 Corona Pointe Court, Corona, CA 92879-1764",33.8711462,-117.5407772
1995,1995,La Sierra University - Criminal Justice Program Rancho Cucamonga,"3491 Concours St., Ontario, CA 91764",34.075071,-117.5772972
1996,1996,La Sierra University - Eisenhower Medical Center,"39000 Bob Hope Drive, Rancho Mirage, CA 92270",33.7631996,-116.4041418
1997,1997,Central California Conference of Seventh-day Adventists,"2820 Willow Ave, Clovis, CA 93612",36.7992688,-119.7285893
1998,1998,Loma Linda University,"11060 Anderson Street, Loma Linda, CA 92350",34.0523529,-117.2640063
1999,1999,"Loma Linda University - Dental Hygiene, Palm Desert","34130 Gateway Dr. Bldg G, Palm Desert, CA 92211",33.7988586,-116.3817169
2000,2000,Long Beach City College,"4901 E. Carson St., Long Beach, CA 90808-1706",33.8327926,-118.134784
2001,2001,Southern California University of Health Sciences,"16200 E Amber Valley Dr, Whittier, CA 90604",33.9233867,-117.9821056
2002,2002,Los Angeles Harbor College,"1111 Figueroa Place, Wilmington, CA 90744-2397",33.7841,-118.2840891
2003,2003,Los Angeles Pierce College,"6201 Winnetka Ave, Woodland Hills, CA 91371-0002",34.1824089,-118.5711393
2004,2004,Los Angeles Southwest College,"1600 W Imperial Hwy., Los Angeles, CA 90047-4899",33.9300181,-118.307316
2005,2005,Los Angeles Trade Technical College,"400 W Washington Blvd, Los Angeles, CA 90015-4181",34.0325515,-118.2697468
2006,2006,Los Angeles Valley College,"5800 Fulton Avenue, Valley Glen, CA 91401-4096",34.1753393,-118.4189809
2007,2007,The Master's University and Seminary,"21726 Placerita Canyon Road, Santa Clarita, CA 91321-1200",34.3817734,-118.5175513
2008,2008,The Master's College and Seminary - The Master's Seminary,"13248 Roscoe Blvd., Sun Valley, CA 91352",34.2211016,-118.4220606
2009,2009,Los Angeles City College,"855 N Vermont Ave, Los Angeles, CA 90029",34.0892322,-118.292904
2010,2010,L.A. County Harbor/UCLA Medical Center,"1000 West Carson Street, Torrance, CA 90509-2910",33.8298404,-118.2947364
2011,2011,Los Angeles County College of Nursing and Allied Health,"1237 N. Mission Rd., Los Angeles, CA 90033-1084",34.0624252,-118.2121202
2012,2012,Los Angeles Mission College,"13356 Eldridge Avenue, Sylmar, CA 91342-3245",34.3151143,-118.4200526
2013,2013,Los Medanos College,"2700 East Leland Road, Pittsburg, CA 94565",38.0053337,-121.8605006
2014,2014,Los Rios Community College District Office,"1919 Spanos Ct, Sacramento, CA 95825-3981",38.5796348,-121.41718
2015,2015,Loyola Marymount University,"One LMU Drive, Los Angeles, CA 90045-2659",33.9680913,-118.4213624
2016,2016,Loyola Marymount University -  Marywood Center,"2811 East Villa Real Drive, Orange, CA 92863-1595",33.8296644,-117.8255561
2017,2017,Loyola Marymount University -  San Jose,"960 West Hedding Street, 960 West Hedding Street, CA 95126",37.3422908,-121.9191871
2018,2018,Loyola Marymount University -  San Francisco,"940 Howard Street, San Francisco, CA 94103",37.7808793,-122.4062426
2019,2019,Loyola Marymount University -  Law School,"919 Albany Street, Los Angeles, CA 90015",34.0487228,-118.2710258
2020,2020,Loyola Marymount University -  Bishop O'Dowd High School,"9500 Stearns Avenue, Oakland, CA 94605",37.7530897,-122.1550906
2021,2021,Loyola Marymount University - Los Angeles Satellit,"3600 Council Street, Los Angeles, CA 90004",34.074275,-118.2885651
2022,2022,Loyola Marymount University -  LA TFA Program,"606 S. Olive Street, Los Angeles, CA 90014",34.0477206,-118.2541013
2023,2023,Loyola Marymount University -  Sacramento,"3400 3rd Ave, Sacramento, CA 95817",38.55167,-121.4697113
2024,2024,Loyola Marymount University - Baldwin Park,"3883 Baldwin Park Blvd, Baldwin Park, CA 91706",34.0830481,-117.9676883
2025,2025,Manchester Beauty College,"3756 N Blackstone Ave, Fresno, CA 93726",36.7859264,-119.7889362
2026,2026,Tulare Beauty College,"1400 W Inyo St, Tulare, CA 93274",36.2038247,-119.3674116
2027,2027,Lytle's Redwood Empire Beauty College Inc,"186 Wikiup Dr, Santa Rosa, CA 95403",38.5083946,-122.7576522
2028,2028,"MTI Business College of Stockton, Inc","6006 N. El Dorado Street, Stockton, CA 95207-4349",38.0078413,-121.3084195
2029,2029,MTI College,"5221 Madison Ave, Sacramento, CA 95841-9817",38.6613956,-121.3424893
2030,2030,Brightwood College - Sacramento,"4330 Watt Ave., Suite 400, Sacramento, CA 95821",38.6444405,-121.3804561
2031,2031,Brightwood College - Bakersfield,"1914 Wible Road, Bakersfield, CA 93304",35.3373356,-119.0379202
