,location_name,address
6479,University of St. Francis at Fort Sanders West Medical Complex,"220 Fort Sanders West Blvd, Knoxville, TN 37923"
6480,University of St. Francis at St. Francis Hospital,"3237 S. 16th Street, Milwaukee, WI 53215"
6481,University of St. Francis at Swedish American Hospital,"1400 Charles Street, Rockford, IL 61104"
6482,University of St. Francis at South Suburban College UCC,"16333 S. Kilbourn Avenue, Oak Forest, IL 60452"
6483,University of St. Francis at Medical Center East,"50 Medical Park East Drive, Birmingham, AL 35235"
6484,University of St. Francis at Oakton Arms Retirement Home,"1665 Oakton Place, Des Plaines, IL 60018"
6485,University of St. Francis at Elmhurst Memorial Hospital,"200 Berteau Avenue, Elmhurst, IL 60126"
6486,University of St. Francis at Indian Trail Middle School,"1005 N. Eastern Ave, Plainfield, IL 60544"
6487,University of St. Francis at Drauden Point Middle School,"1911 Drauden Road, Plainfield, IL 60586-5669"
6488,University of St. Francis at St. Joseph Hospital,"3001 W. Martin Luther King Jr Blvd, Tampa, FL 33607"
6489,University of St. Francis at Bednarcik Jr. High,"10250 Heggs Road, Oswego, IL 60543"
6490,University of St. Francis at Boilingbrook High School,"365 Raider Way, Boilingbrook, IL 60440"
6491,University of St. Francis at Grant Middle School,"1800 W. Monroe, Springfield, IL 62704"
6492,University of St. Francis at Christ Center Church,"6750 Sunset Drive, Miami, FL 33143"
6493,University of St. Francis at Renaissance Center,"1500 Renaissance Center, Albuquerque, NM 87107"
6494,University of St. Francis at Hillsborogh Community College MacDill Center,"8102 Condor St., MacDill AFB, FL 33584"
6495,University of St. Francis at Hillsborogh CC Dale Mabry Campus,"4001 W. Tampa Bay Blvd., Tampa, FL 33614"
6496,University of St. Francis at Hillsborogh Community College Ybor City Campus,"2112 N. 15th Street, Tampa, FL 33605"
6497,University of St. Francis at Elk Grove High School,"500 W. Elk Grove Blvd., Elk Grove, IL 60435"
6498,University of St. Francis at Regional Office of Education #8,"27 South State Avenue, Freeport, IL 61032"
6499,Downers Grove School District 58,"1860 63rd St., Downers Grove, IL 60516"
6500,Lisle CUSD 202,"1800 Short Street, Lisle, IL 60532"
6501,Unity Junior High School,"2115 S 54th Avenue, Cicero, IL 60804"
6502,Cicero School District 99,"5110 W. 24th Street, Cicero, IL 60804"
6503,Troy Community Consolidated School District 30-C,"5800 Theodore Street, Plainfield, IL 60586"
6504,Moraine Valley Community College,"9000 College Parkway, Palos Hills, IL 60465"
6505,Saint Xavier University,"3700 W 103rd St, Chicago, IL 60655"
6506,Tinley Park Campus,"18020 Oak Park Avenue, Tinley Park, IL 60477-3244"
6507,Saint Xavier University - Orland Park Campus,"18230 Orland Parkway, Orland Park, IL 60467"
6508,Saint Xavier University at Aledo,"1002 SW Sixith St., Aledo, IL 61231"
6509,Saint Xavier University at Hersey High School,"1900 E. Thomas, Arlington Heights, IL 60004"
6510,Saint Xavier University at Reading Arlington Heights Cohort #1,"1100 W. Dundee Road, Buffalo Grove, IL 60089"
6511,Saint Xavier University at Cary,"2208 Three Oaks Road, Cary, IL 60113"
6512,Saint Xavier University at Chicago Bar Association Building,"321 S. Plymouth Court, Chicago, IL 60604"
6513,Saint Xavier University at Chicago Police Academy,"1300 W Jackson Blvd, Chicago, IL 60607"
6514,Saint Xavier University at Mercy Hospital & Medical Center,"2525 S. Michigan, Chicago, IL 60616"
6515,Saint Xavier University at Youth Connection Charter School (YCCS),"3434 S. State Street, Chicago, IL 60616"
6516,Saint Xavier University at East Peoria,"One College Dr., East Peoria, IL 61635"
6517,Saint Xavier University at Alexian Brothers Medical Center,"800 W. Biesterfield Road, Elk Grove Village, IL 60007"
6518,Saint Xavier University at Fairbury,"605 N. 7th St., Fairbury, IL 61739"
6519,Saint Xavier University at Geneseo,"333 E. Ogden, Geneseo, IL 61254"
6520,Saint Xavier University at Grayslake,"1200 University Center Drive, Grayslake, IL 60030"
6521,Saint Xavier University at Huntley High School,"13719 Harmony Road, Huntley, IL 60142"
6522,Saint Xavier University at Ed. Admin Gurnee Cohort #1,"420 W. Grand Ave., Lake Villa, IL 60046"
6523,Saint Xavier University at Ed. Admin Park Ridge Cohort #1,"920 West Granville Ave., Park Ridge, IL 60068"
6524,Saint Xavier University at Ed. Admin. Peoria/Pekin Cohort #1,"501 Maywood Ave., Pekin, IL 61554"
6525,Saint Xavier University at Peoria,"5407 N. University, Peoria, IL 61614"
6526,Saint Xavier University at Rock Island,"639 38th Street, Rock Island, IL 61201"
6527,Saint Xavier University at United Township High School,"1275 Avenue of the Cities, East Moline, IL 61244"
6528,Saint Xavier University at Parkland Middle School,"1802 N. Ringwood Road, McHenry, IL 60050"
6529,Saint Xavier University at Rockridge Jr. High School,"14110 34th Ave. West, Taylor Ridge, IL 61284"
6530,Saint Xavier University at Immanuel Lutheran School,"300 Pathway Court, Crystal Lake, IL 60014"
6531,Saint Xavier University at McHenry Middle School,"2120 West Lincoln Road, McHenry, IL 60051"
